#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A2E2A9
#Date Time: 2018-11-27 11:16:18.471
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Wavegen 1 Condition: Rising
#Channel 1: Range: 200 mV/div Offset: 0 V
#Channel 2: Range: 500 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.00012000000000000031,-0.28492192956950713,-0.00096457935553766411
-0.00011874999999999993,-0.28591976208412906,-0.00096457935553766411
-0.00011749999999999955,-0.28658498376054409,-0.00063150120775298097
-0.00011625000000000003,-0.28758281627516552,-0.00096457935553766411
-0.00011499999999999965,-0.28891325962799475,-0.0006315012077528295
-0.00011375000000000014,-0.28957848130440933,-0.0006315012077528295
-0.00011249999999999975,-0.29057631381903121,-0.00096457935553766411
-0.00011125000000000024,-0.29090892465723833,-0.00096457935553766411
-0.00010999999999999985,-0.29257197884827502,-0.0012976575033224987
-0.00010874999999999947,-0.29356981136289689,-0.00096457935553751265
-0.00010749999999999996,-0.29356981136289689,-0.0006315012077528295
-0.00010624999999999957,-0.29490025471572656,-0.0006315012077528295
-0.00010500000000000006,-0.29589808723034799,-0.0006315012077528295
-0.00010374999999999968,-0.29623069806855529,-0.0006315012077528295
-0.00010250000000000016,-0.29722853058317722,-0.00096457935553766411
-0.00010124999999999978,-0.2982263630977991,-0.00096457935553766411
-0.00010000000000000026,-0.2988915847742134,-0.00063150120775298097
-9.874999999999988e-05,-0.29922419561242097,-0.0002984230599679949
-9.7499999999999497e-05,-0.30022202812704307,-0.00096457935553766411
-9.6249999999999981e-05,-0.3005546389652502,-0.00096457935553766411
-9.4999999999999599e-05,-0.30155247147987235,-0.0006315012077528295
-9.3750000000000083e-05,-0.30221769315628666,-0.0006315012077528295
-9.2499999999999701e-05,-0.30221769315628666,-0.0002984230599679949
-9.1250000000000185e-05,-0.30321552567090815,-0.0002984230599679949
-8.9999999999999802e-05,-0.30354813650911588,-0.0002984230599679949
-8.8750000000000287e-05,-0.30421335818553019,-0.00063150120775267804
-8.7499999999999904e-05,-0.30487857986194505,-0.00096457935553766411
-8.6249999999999521e-05,-0.30554380153835964,-0.0006315012077528295
-8.5000000000000006e-05,-0.30554380153835964,-0.0006315012077528295
-8.3749999999999623e-05,-0.30620902321477428,-0.00096457935553766411
-8.2500000000000108e-05,-0.30620902321477428,-0.00096457935553766411
-8.1249999999999725e-05,-0.30687424489118886,-0.0006315012077528295
-8.000000000000021e-05,-0.30753946656760317,-0.0006315012077528295
-7.8749999999999827e-05,-0.30787207740581074,-0.00096457935553766411
-7.7500000000000312e-05,-0.30787207740581074,-0.00096457935553766411
-7.6249999999999929e-05,-0.30820468824401803,-0.00096457935553766411
-7.4999999999999546e-05,-0.30820468824401831,-0.00029842305996829782
-7.3750000000000031e-05,-0.30886990992043262,-0.00096457935553766411
-7.2499999999999648e-05,-0.30920252075863996,-0.0006315012077528295
-7.1250000000000133e-05,-0.30953513159684726,-0.0006315012077528295
-6.999999999999975e-05,-0.30986774243505455,-0.0006315012077528295
-6.8750000000000235e-05,-0.30986774243505455,-0.00029842305996814636
-6.7499999999999852e-05,-0.30986774243505455,-0.0006315012077528295
-6.6249999999999469e-05,-0.30986774243505472,-0.00063150120775298097
-6.4999999999999954e-05,-0.31020035327326184,-0.00096457935553766411
-6.3749999999999571e-05,-0.31020035327326184,-0.00096457935553751265
-6.2500000000000056e-05,-0.31020035327326184,-0.0006315012077528295
-6.1249999999999673e-05,-0.31053296411146913,-0.0006315012077528295
-6.0000000000000157e-05,-0.31053296411146913,-0.0006315012077528295
-5.8749999999999775e-05,-0.31053296411146913,-0.0006315012077528295
-5.7500000000000259e-05,-0.31086557494967626,-0.0006315012077528295
-5.6249999999999876e-05,-0.31053296411146913,-0.00096457935553766411
-5.4999999999999494e-05,-0.3105329641114693,-0.0002984230599679949
-5.3749999999999978e-05,-0.31086557494967643,-0.0002984230599679949
-5.2499999999999596e-05,-0.31086557494967626,-0.0002984230599679949
-5.125000000000008e-05,-0.31053296411146913,-0.0002984230599679949
-4.9999999999999697e-05,-0.30986774243505455,-0.0006315012077528295
-4.8750000000000182e-05,-0.31020035327326168,-0.0006315012077528295
-4.7499999999999799e-05,-0.31020035327326184,-0.0012976575033224987
-4.6250000000000284e-05,-0.30986774243505472,-0.0012976575033224987
-4.4999999999999901e-05,-0.30986774243505455,-0.00096457935553766411
-4.3749999999999518e-05,-0.30953513159684709,-0.00096457935553736118
-4.2500000000000003e-05,-0.30920252075863996,-0.0002984230599679949
-4.124999999999962e-05,-0.30920252075863996,-0.0002984230599679949
-4.0000000000000105e-05,-0.30920252075863996,-0.0002984230599679949
-3.8749999999999722e-05,-0.30886990992043262,-0.00096457935553766411
-3.7500000000000207e-05,-0.30787207740581118,-0.00096457935553766411
-3.6249999999999824e-05,-0.30753946656760345,-0.0006315012077528295
-3.5000000000000309e-05,-0.30787207740581057,3.4655087816536784e-05
-3.3749999999999926e-05,-0.30720685572939616,-0.0006315012077528295
-3.2499999999999543e-05,-0.3068742448911887,-0.00063150120775298097
-3.1250000000000028e-05,-0.30654163405298157,-0.00096457935553766411
